17

data/MODEL/mouja/900_body.x
data/MODEL/mouja/901_scart.x
data/MODEL/mouja/902_head.x
data/MODEL/mouja/903_secondarmR.x
data/MODEL/mouja/904_armR.x
data/MODEL/mouja/905_handR.x
data/MODEL/mouja/906_secondarmL.x
data/MODEL/mouja/907_armL.x
data/MODEL/mouja/908_handL.x
data/MODEL/mouja/909_thighR.x
data/MODEL/mouja/910_legR.x
data/MODEL/mouja/911_footR.x
data/MODEL/mouja/912_thighL.x
data/MODEL/mouja/913_legL.x
data/MODEL/mouja/914_footL.x
data/MODEL/mouja/915_shield.x
data/MODEL/mouja/916_sword.x


-1
0
0
0
3
4
0
6
7
1
9
10
1
12
13
8
5

0.0 , 42.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 35.0 , 0.0
-8.0 , 25.0 , 0.0
-13.0 , -2.0 , 0.0
-12.5 , 0.0 , 0.0
8.0 , 25.0 , 2.0
12.0 , 0.0 , 0.0
9.5 , 1.0 , 0.0
-4.0 , -7.0 , 0.0
-0.0 , -12.0 , 0.0
0.0 , -22.0 , 0.0
4.5 , -7.0 , 0.0
0.0 , -12.0 , 0.0
0.0 , -22.0 , 0.0
0.0 , 0.0 , 0.0
-3.0 , -2.0 , 0.0

0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0


7

15
1
2

55

0.0 , -1.1 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0

-0.10 , 0.00 , 0.00
0.13 , 0.00 , 0.00
0.00 , 0.00 , 0.00
0.09 , -0.13 , 1.01
0.00 , -0.44 , 0.00
0.28 , 0.00 , 0.00
0.03 , 0.13 , -1.10
0.25 , 0.34 , -0.15
0.03 , 0.06 , -0.06
0.35 , 0.16 , -0.19
-0.72 , 0.00 , 0.00
0.38 , -0.03 , 0.13
0.13 , -0.31 , 0.09
-0.47 , 0.06 , 0.00
0.34 , 0.00 , 0.00

50

0.0 , 0.1 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0

0.00 , 0.00 , 0.00
0.00 , 0.00 , 0.00
0.00 , 0.00 , 0.00
0.00 , 0.00 , 1.04
0.00 , -0.44 , 0.16
0.28 , 0.00 , 0.00
0.00 , 0.00 , -1.10
0.06 , 0.22 , -0.15
0.03 , 0.06 , -0.06
0.25 , 0.16 , -0.19
-0.50 , 0.00 , 0.00
0.22 , 0.00 , 0.00
-0.13 , -0.31 , 0.09
-0.09 , 0.00 , 0.00
